date,time,seconds,rr
12/4/2012,7:36:21 AM,283.734,0.496
12/4/2012,7:36:21 AM,284.221,0.487
12/4/2012,7:36:22 AM,284.71,0.489
12/4/2012,7:36:22 AM,285.205,0.495
12/4/2012,7:36:23 AM,285.687,0.482
12/4/2012,7:36:23 AM,286.178,0.491
12/4/2012,7:36:24 AM,286.664,0.486
12/4/2012,7:36:25 AM,287.643,0.979
12/4/2012,7:36:25 AM,288.124,0.481
12/4/2012,7:36:26 AM,288.608,0.484
12/4/2012,7:36:26 AM,289.097,0.489
12/4/2012,7:36:27 AM,289.581,0.484
12/4/2012,7:36:28 AM,290.553,0.972
12/4/2012,7:36:28 AM,291.036,0.483
12/4/2012,7:36:29 AM,291.523,0.487
12/4/2012,7:36:29 AM,292.005,0.482
12/4/2012,7:36:29 AM,292.485,0.48
12/4/2012,7:36:30 AM,292.971,0.486
12/4/2012,7:36:30 AM,293.452,0.481
12/4/2012,7:36:31 AM,293.93,0.478
12/4/2012,7:36:31 AM,294.413,0.483
12/4/2012,7:36:32 AM,294.892,0.479
12/4/2012,7:36:32 AM,295.368,0.476
12/4/2012,7:36:33 AM,295.85,0.482
12/4/2012,7:36:33 AM,296.327,0.477
12/4/2012,7:36:34 AM,296.802,0.475
12/4/2012,7:36:34 AM,297.279,0.477
12/4/2012,7:36:35 AM,297.755,0.476
12/4/2012,7:36:35 AM,298.225,0.47
12/4/2012,7:36:36 AM,298.7,0.475
12/4/2012,7:36:36 AM,299.177,0.477
12/4/2012,7:36:37 AM,299.642,0.465
12/4/2012,7:36:37 AM,300.113,0.471
12/4/2012,7:36:38 AM,300.593,0.48
12/4/2012,7:36:38 AM,301.055,0.462
12/4/2012,7:36:39 AM,301.52,0.465
12/4/2012,7:36:39 AM,301.995,0.475
12/4/2012,7:36:39 AM,302.456,0.461
12/4/2012,7:36:40 AM,302.919,0.463
12/4/2012,7:36:40 AM,303.388,0.469
12/4/2012,7:36:41 AM,303.856,0.468
12/4/2012,7:36:41 AM,304.319,0.463
12/4/2012,7:36:42 AM,304.784,0.465
12/4/2012,7:36:42 AM,305.25,0.466
12/4/2012,7:36:43 AM,305.71,0.46
12/4/2012,7:36:43 AM,306.171,0.461
12/4/2012,7:36:44 AM,306.63,0.459
12/4/2012,7:36:44 AM,307.093,0.463
12/4/2012,7:36:45 AM,308.008,0.915
12/4/2012,7:36:45 AM,308.467,0.459
12/4/2012,7:36:46 AM,308.928,0.461
12/4/2012,7:36:46 AM,309.387,0.459
12/4/2012,7:36:47 AM,309.842,0.455
12/4/2012,7:36:47 AM,310.299,0.457
12/4/2012,7:36:48 AM,310.76,0.461
12/4/2012,7:36:48 AM,311.212,0.452
12/4/2012,7:36:49 AM,311.668,0.456
12/4/2012,7:36:49 AM,312.13,0.462
12/4/2012,7:36:50 AM,312.586,0.456
12/4/2012,7:36:50 AM,313.041,0.455
12/4/2012,7:36:50 AM,313.5,0.459
12/4/2012,7:36:51 AM,313.962,0.462
12/4/2012,7:36:51 AM,314.415,0.453
12/4/2012,7:36:52 AM,314.871,0.456
12/4/2012,7:36:52 AM,315.327,0.456
12/4/2012,7:36:53 AM,315.783,0.456
12/4/2012,7:36:54 AM,316.688,0.905
12/4/2012,7:36:54 AM,317.139,0.451
12/4/2012,7:36:55 AM,317.596,0.457
12/4/2012,7:36:55 AM,318.052,0.456
12/4/2012,7:36:55 AM,318.499,0.447
12/4/2012,7:36:56 AM,318.951,0.452
12/4/2012,7:36:56 AM,319.411,0.46
12/4/2012,7:36:57 AM,319.86,0.449
12/4/2012,7:36:57 AM,320.307,0.447
12/4/2012,7:36:58 AM,320.762,0.455
12/4/2012,7:36:58 AM,321.216,0.454
12/4/2012,7:36:59 AM,321.663,0.447
12/4/2012,7:36:59 AM,322.113,0.45
12/4/2012,7:37:00 AM,322.565,0.452
12/4/2012,7:37:00 AM,323.014,0.449
12/4/2012,7:37:00 AM,323.461,0.447
12/4/2012,7:37:01 AM,323.908,0.447
12/4/2012,7:37:01 AM,324.354,0.446
12/4/2012,7:37:02 AM,324.804,0.45
12/4/2012,7:37:02 AM,325.252,0.448
12/4/2012,7:37:03 AM,325.691,0.439
12/4/2012,7:37:03 AM,326.138,0.447
12/4/2012,7:37:04 AM,326.585,0.447
12/4/2012,7:37:04 AM,327.033,0.448
12/4/2012,7:37:04 AM,327.475,0.442
12/4/2012,7:37:05 AM,327.919,0.444
12/4/2012,7:37:05 AM,328.362,0.443
12/4/2012,7:37:06 AM,328.809,0.447
12/4/2012,7:37:06 AM,329.25,0.441
12/4/2012,7:37:07 AM,329.692,0.442
12/4/2012,7:37:07 AM,330.129,0.437
12/4/2012,7:37:08 AM,330.571,0.442
12/4/2012,7:37:08 AM,331.02,0.449
12/4/2012,7:37:08 AM,331.455,0.435
12/4/2012,7:37:09 AM,331.893,0.438
12/4/2012,7:37:09 AM,332.336,0.443
12/4/2012,7:37:10 AM,332.778,0.442
12/4/2012,7:37:10 AM,333.216,0.438
12/4/2012,7:37:11 AM,333.655,0.439
12/4/2012,7:37:11 AM,334.094,0.439
12/4/2012,7:37:12 AM,334.534,0.44
12/4/2012,7:37:12 AM,335.417,0.883
12/4/2012,7:37:13 AM,335.852,0.435
12/4/2012,7:37:13 AM,336.291,0.439
12/4/2012,7:37:14 AM,336.734,0.443
12/4/2012,7:37:14 AM,337.174,0.44
12/4/2012,7:37:15 AM,337.611,0.437
12/4/2012,7:37:15 AM,338.049,0.438
12/4/2012,7:37:15 AM,338.487,0.438
12/4/2012,7:37:16 AM,338.926,0.439
12/4/2012,7:37:16 AM,339.362,0.436
12/4/2012,7:37:17 AM,339.8,0.438
12/4/2012,7:37:17 AM,340.234,0.434
12/4/2012,7:37:18 AM,340.669,0.435
12/4/2012,7:37:18 AM,341.115,0.446
12/4/2012,7:37:19 AM,341.552,0.437
12/4/2012,7:37:19 AM,341.989,0.437
12/4/2012,7:37:19 AM,342.424,0.435
12/4/2012,7:37:20 AM,342.869,0.445
12/4/2012,7:37:20 AM,343.305,0.436
12/4/2012,7:37:21 AM,343.742,0.437
12/4/2012,7:37:21 AM,344.177,0.435
12/4/2012,7:37:22 AM,344.612,0.435
12/4/2012,7:37:22 AM,345.052,0.44
12/4/2012,7:37:22 AM,345.497,0.445
12/4/2012,7:37:23 AM,345.929,0.432
12/4/2012,7:37:23 AM,346.365,0.436
12/4/2012,7:37:24 AM,346.803,0.438
12/4/2012,7:37:24 AM,347.243,0.44
12/4/2012,7:37:25 AM,347.681,0.438
12/4/2012,7:37:25 AM,348.119,0.438
12/4/2012,7:37:26 AM,348.555,0.436
12/4/2012,7:37:26 AM,349.423,0.868
12/4/2012,7:37:27 AM,349.866,0.443
12/4/2012,7:37:27 AM,350.305,0.439
12/4/2012,7:37:28 AM,350.738,0.433
12/4/2012,7:37:28 AM,351.172,0.434
12/4/2012,7:37:29 AM,351.61,0.438
12/4/2012,7:37:29 AM,352.044,0.434
12/4/2012,7:37:29 AM,352.484,0.44
12/4/2012,7:37:30 AM,352.92,0.436
12/4/2012,7:37:30 AM,353.35,0.43
12/4/2012,7:37:31 AM,353.784,0.434
12/4/2012,7:37:31 AM,354.22,0.436
12/4/2012,7:37:32 AM,354.657,0.437
12/4/2012,7:37:32 AM,355.086,0.429
12/4/2012,7:37:33 AM,355.516,0.43
12/4/2012,7:37:33 AM,355.947,0.431
12/4/2012,7:37:33 AM,356.379,0.432
12/4/2012,7:37:34 AM,356.815,0.436
12/4/2012,7:37:34 AM,357.248,0.433
12/4/2012,7:37:35 AM,357.672,0.424
12/4/2012,7:37:35 AM,358.101,0.429
12/4/2012,7:37:36 AM,358.53,0.429
12/4/2012,7:37:36 AM,358.963,0.433
12/4/2012,7:37:36 AM,359.391,0.428
12/4/2012,7:37:37 AM,359.819,0.428
12/4/2012,7:37:37 AM,360.247,0.428
12/4/2012,7:37:38 AM,360.671,0.424
12/4/2012,7:37:38 AM,361.101,0.43
12/4/2012,7:37:39 AM,361.534,0.433
12/4/2012,7:37:39 AM,361.96,0.426
12/4/2012,7:37:39 AM,362.384,0.424
12/4/2012,7:37:40 AM,362.81,0.426
12/4/2012,7:37:40 AM,363.236,0.426
12/4/2012,7:37:41 AM,363.662,0.426
12/4/2012,7:37:41 AM,364.093,0.431
12/4/2012,7:37:42 AM,364.524,0.431
12/4/2012,7:37:42 AM,364.943,0.419
12/4/2012,7:37:42 AM,365.368,0.425
12/4/2012,7:37:43 AM,365.795,0.427
12/4/2012,7:37:43 AM,366.219,0.424
12/4/2012,7:37:44 AM,366.646,0.427
12/4/2012,7:37:44 AM,367.075,0.429
12/4/2012,7:37:44 AM,367.5,0.425
12/4/2012,7:37:45 AM,367.922,0.422
12/4/2012,7:37:45 AM,368.346,0.424
12/4/2012,7:37:46 AM,368.772,0.426
12/4/2012,7:37:46 AM,369.195,0.423
12/4/2012,7:37:47 AM,369.627,0.432
12/4/2012,7:37:47 AM,370.052,0.425
12/4/2012,7:37:47 AM,370.472,0.42
12/4/2012,7:37:48 AM,370.893,0.421
12/4/2012,7:37:48 AM,371.321,0.428
12/4/2012,7:37:49 AM,371.744,0.423
12/4/2012,7:37:49 AM,372.172,0.428
12/4/2012,7:37:50 AM,372.602,0.43
12/4/2012,7:37:50 AM,373.021,0.419
12/4/2012,7:37:50 AM,373.44,0.419
12/4/2012,7:37:51 AM,373.863,0.423
12/4/2012,7:37:51 AM,374.289,0.426
12/4/2012,7:37:52 AM,374.712,0.423
12/4/2012,7:37:52 AM,375.139,0.427
12/4/2012,7:37:53 AM,375.567,0.428
12/4/2012,7:37:53 AM,375.982,0.415
12/4/2012,7:37:53 AM,376.402,0.42
12/4/2012,7:37:54 AM,376.826,0.424
12/4/2012,7:37:54 AM,377.251,0.425
12/4/2012,7:37:55 AM,377.671,0.42
12/4/2012,7:37:55 AM,378.097,0.426
12/4/2012,7:37:56 AM,378.521,0.424
12/4/2012,7:37:56 AM,378.935,0.414
12/4/2012,7:37:56 AM,379.354,0.419
12/4/2012,7:37:57 AM,380.201,0.847
12/4/2012,7:37:58 AM,380.623,0.422
12/4/2012,7:37:58 AM,381.044,0.421
12/4/2012,7:37:58 AM,381.463,0.419
12/4/2012,7:37:59 AM,381.884,0.421
12/4/2012,7:37:59 AM,382.305,0.421
12/4/2012,7:38:00 AM,382.727,0.422
12/4/2012,7:38:00 AM,383.151,0.424
12/4/2012,7:38:01 AM,383.578,0.427
12/4/2012,7:38:01 AM,383.998,0.42
12/4/2012,7:38:01 AM,384.419,0.421
12/4/2012,7:38:02 AM,384.84,0.421
12/4/2012,7:38:02 AM,385.261,0.421
12/4/2012,7:38:03 AM,385.686,0.425
12/4/2012,7:38:03 AM,386.112,0.426
12/4/2012,7:38:04 AM,386.539,0.427
12/4/2012,7:38:04 AM,386.956,0.417
12/4/2012,7:38:04 AM,387.379,0.423
12/4/2012,7:38:05 AM,387.801,0.422
12/4/2012,7:38:05 AM,388.221,0.42
12/4/2012,7:38:06 AM,388.646,0.425
12/4/2012,7:38:06 AM,389.071,0.425
